University Name, Website, College Application Submission Date, Source
Austin College, www.austincollege.edu, ,
University Of Minnesota-Morris, None, ,
Rowan University, www.rowan.edu, ,
University of Tampa, http://www.ut.edu, ,
Benedictine University, www.ben.edu, ,
Carthage College, www.carthage.edu, ,
St. Francis College, sfc.edu, ,
Master's College and Seminary, None, ,
Eastern Michigan University, www.emich.edu, ,
Merrimack College, merrimack.edu, ,
California St University-Long Beach, None, ,
California St University-Fresno, None, ,
Susquehanna University, www.susqu.edu, ,
The Citadel, None, ,
University of Alaska, None, ,
Brooklyn College, www.brooklyn.cuny.edu, ,
Wichita State University, wichita.edu, ,
University of Missouri at Kansas City, www.umkc.edu, ,
California State University-Monterey Bay, None, ,
Saint Johns University, None, ,
Luther College, None, ,
University of Louisville, www.louisville.edu, ,
University of South Alabama, www.southalabama.edu, ,
University of California-Riverside, None, ,
Indiana University of Pennsylvania, www.iup.edu, ,
Chowan University, www.chowan.edu, ,
Loyola University-Watertower, None, ,
Fort Lewis College, www.fortlewis.edu, ,
Queens University of Charlotte, www.queens.edu, ,
Simpson College, http://www.simpson.edu, ,
Northwestern College, None, ,
Arizona State University-Tempe, None, ,
Northern Illinois University, www.niu.edu, ,
Mercer University, www.mercer.edu, ,
The College Of Idaho, None, ,
Fisk University, www.fisk.edu, ,
Liberty University, liberty.edu, ,
Oakland University, www.oakland.edu, ,
Central Michigan University, None, ,
Spring Hill College, www.shc.edu, ,
North Carolina A&T State University, None, ,
St. Norbert College, http://www.snc.edu/, ,
University of Tennessee, www.utk.edu, ,
Whitworth University, whitworth.edu, ,
Tuskegee University, www.tuskegee.edu, ,
Hood College, hood.edu, ,
Central College, None, ,
University of New Mexico, www.unm.edu, ,
St Joseph's College, None, ,
University of Nevada, Las Vegas, unlv.edu, ,
Weber State University, www.weber.edu, ,
Whittier College, www.whittier.edu, ,
Stephen F. Austin State University, www.sfasu.edu, ,
Ithaca College, ithaca.edu, ,
Millsaps College, www.millsaps.edu, ,
SUNY University at Albany, www.albany.edu, ,
Wayne State University, www.wayne.edu, ,
Trinity University, None, ,
Kettering University, www.kettering.edu, ,
